,product_name_list,price_lst
88,بيرفيتو - مكرونة سباغيتي ٤٥٠ غرام,4.0
89,دوريتوس - بنكهة حار وحلو  ١٨٠ غرام,5.0
90,مكفتيز- بسكويت دايجستف مغطى بالشوكولاتة ٢٠٠ غرام,9.0
91,اليوم - دجاج فاخر طازج ١٢٠٠ غرام,16.0
92,بوك - قشطة سادة ٦*١٧٠ غرام,13.0
93,كريسبي - حروف بنكهة الكاتشب ٢٣*١١ غرام,11.0
94,سنيكرز - شوكولاتة كريسبر ٣٠٠.٨غرام,17.0
95,ليز ماكس - رقائق البطاطس بالفلفل المكسيكي  الحار  ١٧٠غرام,5.0
96,كيتكات - ويفر بالشوكولاتة ٣٦+٦*٢٠.٥ غرام,35.0
97,بيوقلز - قراقيش ذرة بطعم الجبن ١٢٥غرام,6.0
98,العربي - زيت طبخ ٢*١.٨ لتر,33.0
99,نوفا - مياه شرب ٢٤*٥٥٠ مل,15.0
100,فيتنس - رقائق فطور من الحبوب الكاملة ٣٧٥ غرام,14.0
101,أولايت - زيت الكانولا ٢*١.٨ لتر,24.0
102,ريتز - بسكويت مالح ١٦*٤١ غرام,15.0
103,دوريتوس - رقائق الذرة حار وحلو ١٢*٢٣ غرام,12.0
104,قودي - خل طبيعي ٩٨٠  مل,3.0
105,الهدا - مياه شرب ٣٢*٣٣٠ مل,16.0
106,كوبوليفا - زيتون اسود شرائح ١١٥ غرام,5.0
107,سفن دايز - كروسان بحشوة كريمة الكاكاو ٥+١*٥٥ غرام,5.0
108,ساديا - ناجتس دجاج مقرمش ٧٥٠ غرام,25.0
109,بوني - حليب مبخر كامل الدسم ١٧٠ غرام,2.0
110,رضوى - دجاج طازج فاخر ٩٠٠ غرام,14.0
111,ساديا - نقانق دجاج ٣٤٠ غرام,5.0
112,السنبلة - بازيلا و جزر مجمدة ٤٥٠ غرام,8.0
113,البطل  - فشار بطعم الزبدة ١١*٢٣غرام,9.0
114,هيرشيز - كيتشن رقائق الشوكولاتة بالحليب ١٢ اونصه,18.0
115,تويكس مينيتورس -  بسكويت وكراميل مغطى بالشوكولاتة بالحليب ١٥٠ غرام,13.0
116,غندور يمامة - كيك الفانيليا ١٢*٢٣ غرام,6.0
117,الوليمة -  أرز مزة بسمتي حبة طويلة ٥ كيلو جرام,38.0
118,نسكافيه جولد -  قهوة  سريعة التحضير ١٠٠ غرام,27.0
119,ذوق - قهوة عربية سريعة التحضير ٢٥٠ غرام,20.0
120,قودي - ذرة ذهبية ( كاملة الحبوب ) ٣٤٠ غرام,4.0
121,قودي - فطر مقطع شرائح ٤٠٠ غرام,6.0
122,بوتان - لحم تونا خفيف ١٨٥  غرام,6.0
123,جالكسي ميني - شوكولاتة بالحليب ناعمة وغنية ٢٥٠ غرام,12.0
124,ندى - معجون طماطم  ٨*١٣٥ غرام,7.0
125,العين -  مياه شرب معبأة ٤٠*٣٣٠ مل,18.0
126,كي دي دي - عصير التفاح ١٠٠٪ طبيعي ٢٤*١٨٠ مل,23.0
127,كادبري - شوكولاتة فلايك ١٨٨.٥ غرام,9.0
128,ساديا - صدور دجاج طرية ٢ كيلو,53.0
129,داناو - مشروب عصير بالحليب بنكهة البرتقال والموز والفراولة  ٦*١٨٠ مل,5.0
130,سنكرس ميني - شكولاتة مع الكراميل والفول السوداني ١٥٠ غرام,13.0
131,كوفي مايت - مبيض قهوة بالنكهة الاصلية ٤٠٠ غرام,16.0
132,دوريتوس - رقائق الذرة بنكهة جبنة الناتشو ١٢*٢٣ غرام,12.0
133,نسكافيه - قهوة  ٣ في ١  سريعة التحضير ٣٠*٢٠ غرام,18.0
134,المراعي - حليب مبخر ١٧٠ غرام,2.0
135,بيوقلز - قراقيش ذرة بطعم المشوي المدخن ١٢٥ غرام,6.0
136,بيرفيتو - مكرونة أقلام ٥٠٠ غرام,4.0
137,قودي - فشارعبوة ٨٥٠ غرام,14.0
