,product_name_list,price_lst
109,لامبستون بطاطس تويستر 2.5 كيلو جرام,42.95
110,كارفور جبنة ماعز 300 جم,14.95
111,زينا هيل علبة حمراء 500 جرام,50.95
112,إن ون سميد خشن 1 كجم,5.95
113,ميليتا فلتر 1x6 للقهوة - 40 حبة,8.95
114,بيتي كروكر خليط كيك أصفر 500 جرام,9.95
115,تويننغز شاي إنجلش بريكفاست 200 جرام,33.95
116,ياطب لوز شرائح 200 جرام,17.5
117,خبز فلبيني 10 حبات,3.0
118,دانيا عصير توت أحمر 1 لتر,8.95
119,بيبسي 2.25 لتر,8.0
120,الوطنية دجاج مجمد 1 كج × 10,128.5
121,فرشلي خل ابيض طبيعي جالون,17.5
122,هاويك بسكويت بالجبنة 110 جرام,5.0
123,السفير أرز مزة بسمتي 10 كج,68.95
124,المراعي حليب قليل الدسم 1 لتر,4.5
125,بيبسي 1 لتر,5.0
126,فوستر كلارك نشاء الذره 400 جرام,5.5
127,فريشلي صلصة البيتزا 15 اونص,5.95
128,الصافي حليب قليل الدسم طويل الأجل 1 لتر,4.75
129,لونا قشطة 100 جم,2.5
130,تيفاني كوكيز بالزبدة 90 جرام,2.5
131,لونا زبدة فول سوداني ناعمة 340 جم,8.95
132,المراعي لبن منزوع الدسم 2 لتر,8.0
133,قودي فاصوليا مطبوخة بصلصة طماطم 420 جم,4.5
134,بيتي كروكر خلطة كيك فرنسي بالفانيليا 500...,11.5
135,هولستن شراب شعير بنكهة العنب الأسود 330 ...,5.75
136,مجدي فلفل اسود 100 جرام,12.75
137,هرفي شابورة أصلية 375 جرام,5.5
138,إن ون شرائح جبن تشيدر 500 جم,10.95
139,القصيم مياه 5 لتر,3.75
140,نستله كريمة مبيضه للقهوة 400 جرام,15.95
141,كارفور زبادي بنكهة الليمون 125 جرام 4 حب...,11.5
142,جبنة فيتا هنقارية (للكيلو),19.95
143,سفن اب مشروب غازي خالي من السكر علبة 330...,57.95
144,قودي جيلي فراولة 85 جم,2.0
145,اس تي دالفور مربى بالخوخ بدون سكر 284 جر...,19.5
146,العلالي مربى فواكه لايت 340 جرام,10.0
147,عصير كوكتيل طازج 1 لتر,20.95
148,فريشلي زبدة الفول السوداني بمربى العنب 1...,14.95
149,هرفي برجر دجاج بالبقسماط 840 جرام,27.95
150,فريز شراب توت مشكل 275 مل,5.0
151,امريكان جاردن مايونيز 887 جرام,14.25
152,لونا فاصوليا خضراء 400 جم,2.5
153,امريكانا بتر كوكيز ازرق 100 جرام 6 حبات,12.25
154,ساسو زيت زيتون 175 مل,10.0
155,ندى قشطة حامضة 200 جرام,5.8
156,كيندر شوكولاتة 100 جرام,5.5
157,فريكو جبنة إيدام هولندية (للكيلو),49.95
158,كراس ويفر محشو بكريمة البندق 38 جرام 24 ...,22.0
159,العلالي مسحوق كاكاو 127 جرام,19.95
160,لواكر ويفر بكريمة البندق 45 جرام 25,72.0
161,كوبوليفا زيتون اسود شرائح 510 جرام,17.5
162,صفا مياه مكه المكرمه 5 لتر,3.75
163,هيرشيز شراب شوكولاتة 650 جم,17.95
164,توت أحمر مستورد - علبة 125 جرام,17.95
165,فريشلي معكرونة لازانيا 16 اونص,12.95
166,الرفاعي مكسرات مشكلة 200 جرام,15.75
167,ماجي شوربة الدجاج مع الذرة 47 جم,5.0
168,ريو ماري تونا بزيت الزيتون 80 جرام 6 حبا...,40.95
169,ليبتون شاي مثلج بالخوخ 320 مل,2.25
170,ياطب سميد خشن 500 جرام,3.95
171,امريكانا كيك رول شوكولاته 130 جرام,4.5
172,اسناد بودرة مرق الدجاج 12 جرام,10.0
173,"نور زيت دوار الشمس 1,8 لتر قطعتين",37.75
174,الكبير اصابع الجبنة والجلابينو 9-10 حبة ...,11.75
175,السنبلة خضار مشكلة 900 جرام,12.5
176,مازولا زيت الذرة 5 لتر,58.05
177,العلالي شطة حارة 473 مل,3.95
178,العلالي دقيق الذرة 100 جرام,1.75
179,حدائق شتورة ماء ورد 500 مل,8.5
180,فونتي كعك شوكولاتة 125 جرام 4 حبات,11.5
181,كارفور بسكويت بالشوكولاتة 100 جرام حبتبن,14.95
182,فرشلي بديل جبنة البرميزان 454 جرام,26.5
183,تويننغز شاي فطور انجليزي - 25 حبة,19.5
184,كي دي دي عصير مانجو 180 مل - 24 حبة,25.5
185,ميرندا مشروب غازي بالبرتقال 2.25 لتر,8.0
186,فريشلي فاصوليا حمراء 15 اونص,5.0
187,الوطنية أفخاذ دجاج طازجة 450 جرام,7.5
188,سن توب شراب المانجو 125 مل - 24 حبة,11.25
189,فيتا برجر لحم 20 قطع,23.5
190,المراعي حليب قليل الدسم طويل الأجل  1 لت...,4.0
191,وايت سوان أرز كالروز 2  كيلوجرام,11.75
192,نادك زبادي كامل الدسم 2 كيلو,13.0
193,الربيع عصير تفاح 120 مل,22.95
194,برينجلز بطاطس بالفلفل الحار 40 جرام,3.25
195,اسناد توابل المعمول و الحلويات 200 جرام,15.5
196,بوك صلصة طماطم و كريمه 500 مل,15.5
197,هالة زيت دوار الشمس 1.8 لتر,12.25
198,فرشلي مكرونة لينجوين 435 جرام,10.75
199,ريغليز إكسترا علكة بالنعناع خالية من الس...,49.95
200,كارفور مشمش في شراب خفيف,9.95
201,داري جبنة موزاريلا مبشورة 1000 جرام,42.75
202,اليوم دجاج مجمد 1 كيلو,114.25
203,"أولايت زيت كانولا 1,8 لتر",20.75
204,بوهلسنير موهلي حبوب القمح 1 كيلو,17.0
205,تمارا تمر سكري مكنوز 1 كج,18.95
206,سن توب توت مشكل 24×125 مل,11.25
207,ريغليز اكسترا علكة بالنعناع الحار 14 جرا...,1.75
208,فخذ حاشي بدون عظم طازج (للكيلو),38.9
209,بادلو شعيرية كبيرة بنكهة الكيمتشي 110 جر...,6.95
210,كارفور فطائر الجبن 20 × 50 جرام,24.95
211,رابونزل سميد الذرة 500 جرام,18.5
212,ستيفانا محلي قوارير 200 جرام,17.95
213,ماجي شعيرية سريعة التحضير بنكهة البرياني...,6.95
214,ليبتون شاي مثلج ياسمين ليتشي 275 مل &tim...,12.5
215,ستيفيا محلي خالي من السعرات الحرارية - 3...,29.95
216,خروف نعيمي كامل (أنثى)  من 18 الى 22 كج,590.0
217,ليندت ميني شوكولاتة الوجوه التعبيرية بال...,32.95
218,المراعي عصير خوخ و أناناس 1.5 لتر,8.5
219,ماكنتوش كواليتي ستريت 200 جرام,21.75
220,اوريجينال جونيور عصير فواكه مشكلة 125 مل...,11.75
221,تيسير شراب مركز بالخوخ  600 مل,21.5
222,دي سيكو أرز أربوريو 1 كغ,30.5
223,الصافي عصير تفاح 1.5 لتر,7.35
224,ريتر سبورت شوكولاته بالعسل و اللوز الممل...,9.75
225,شوب رايت بخاخ زيت الزيتون 141 جرام,23.95
226,نستله بيور لايف مياه 200 مل - 12 حبة,5.25
227,مصاصات بشوكولاتة الحليب 15 جرام  20 حبة,19.95
228,نوتيلا شوكولاته قابلة للدهن 825 جرام,35.5
229,سيليبز زيت جوز الهند عصرة أولى 500 مل,55.95
230,تمارا تمر صفاوي علبه 1 كج,31.95
231,الفروج الذهبي ارجل دجاج مجمدة 900 جرام,13.25
232,السعودية حليب كامل الدسم 200 مل - 24 حبة,31.75
233,ماجي شعيرية سريعة التحضير بنكهة الخضار 7...,6.5
234,توفو 500 جرام,18.95
235,قودي صلصة فرنسية للسلطة 237 مل,8.75
236,المراعي عصير مانجو مع فواكه مشكلة 200 مل,1.05
237,كارفور زبدة غير مملحة 250 جرام,26.95
238,الوطنية دجاج كامل 900 جرام,12.95
239,الربيع عصير فواكه مشكلة 1 لتر,5.5
240,الكبير شرائح المانجو مجمد 1 كج,13.5
241,بيبسي علبة 330 مل × 24,57.95
242,بيبسي كولا علبة 30 ×  150مل,44.95
243,نيدو المدعم حليب بودرة كامل الدسم كيس 18...,55.95
244,الشفاء عسل طبيعي 750  جرام,49.95
245,ندى قشطة طازجة 100 جرام,3.15
246,السعودية حليب خالي الدسم طويل الأجل 1 لت...,60.5
247,مكاتي بسكويت بالثوم 230 جرام,5.0
248,تباسكو شطة حمراء هلابينو 60 مل,14.5
249,فوستر كلارك بيكنج باودر 225 جرام,7.25
250,فريشلي مايونيز 907 جرام,15.95
251,فاكهة الشربتلي تفاح أخضر علبة 1.5 كج,13.95
252,ماركال لوبياء الأزوكي 500 جرام,26.95
253,المثالي حليب بودرة كامل الدسم 1.8 كيلو,49.95
254,كارفور فاصوليا خضراء 720 مل,9.95
255,لو ساريتا كيك بالشوكولاته 230 جرام,11.95
256,سوروتي مياه معدنية فوارة 250 مل,3.95
257,مجدي فلفل ابيض ناعم 100 جرام,18.5
258,مازولا مايونيز 340 مل,10.0
259,اسناد مسحوق كاري حار 200 جرام,12.5
260,تيفاني كوكيز بالزبدة 40 جرام,1.25
261,فرسانا زبدة غير مملحة 100 جرام,5.0
262,إن ون عدس أخضر 1 كجم,9.95
263,تبرك روبيان للطبخ 500 جرام,16.25
264,كي دي دي عصير تفاح 180 مل - 24 حبة,25.5
265,الكبير سبرينق رول بالخضار 280 جرام,10.0
266,صنوايت أرز كالروز 2  كيلوجرام,13.5
267,السنبلة بطاطس مقلية 2.5 كيلو جرام,18.75
268,بيتوني معكرونة سباغيتي 500 غ,7.5
269,ريو ماري بزيت الزيتون والثوم والفلفل الح...,28.0
270,فوستر كلارك نكهة الفانيلا 28 مل,2.75
271,هارفست أناناس شرائح 567 جرام,6.95
272,عافية زيت الذرة 0.75 مل,11.65
273,رحمه زيت زيتون بكر 175 مل,8.95
274,فوستر كلارك دقيق الذرة 100 جرام,1.75
275,اسناد فلفل اسود مطحون 100 جرام,8.95
276,كارفور بيتزا 4 اجبان 450 جرام,12.5
277,فيمتو شراب توت علبة 250 مل,1.5
278,الأسره سكر ناعم علبه 2 كيلو,8.25
279,ليندت ليندور بالبندق 100 جرام,12.75
280,سويت آن لو محلي قليل السعرات  100 حبة,24.5
281,لو سيروب دو مونان شراب وايلد ونعناع 700 ...,42.95
282,امريكانا باوند كيك بالفانيلا 290 جرام,13.25
283,كيندر بوينو شوكولاتة داكنة 43 جرام,2.75
284,كارفور قهوة كولومبيا أكواب 10 حبات,15.95
285,بالسين بسكويت بالشوكولاتة 106   جرام,10.5
286,بران تشاناتشور سناك حار 150 جرام,2.25
287,بايو آيديا بازلاء خضراء مطهية بالبخار 40...,23.95
288,دول عصير أناناس 1.36 لتر,10.0
289,ألبرو حليب صويا بالفانيلا 1 لتر,17.5
290,بيورج حبوب إفطار موسلي عضوي بالفواكه 375...,39.5
291,بيونا بذور التشيا الخام 450 جرام,89.95
292,كارفور فول مدمس مع حمص 400 جم,2.95
293,المراعي لبن زبادي حامض كامل الدسم 1 كيلو,7.35
294,ندى زبادي يوناني بالعسل 360 جرام,6.95
295,فيمتو شراب 250 مل,9.0
296,اليوم سيقان دجاج منزوعة الجلد 400 جرام,10.95
297,لونا فاصوليا بصلصة الطماطم الحارة 400 جم,4.25
298,ماجي خلطة الليمون والفلفل 37 جرام,5.95
299,كعك فلات كمون 1 كج,27.0
300,بايارا أعشاب 100 مل,6.95
301,سيشار كورن فليكس 250 جرام,22.0
302,علي تي شاي بالزنجبيل 20جرام 12 حبة,14.95
303,ندى زبادي يوناني سادة خالي من الدهون 160...,4.0
304,كعك أصابع حبة السوداء 1 كج,27.0
305,كارفور قالب جبنة ماعز 60 جرام حبتين,28.5
306,برينجلز رقائق البطاطس الأصلية 200 جرام,12.5
307,بروبايوس إل نوتريمنتو صلصة الطماطم مع ال...,25.95
308,راني عصير برتقال وجزر 1.5 لتر,4.1
309,هاينز مايونيز جولد 940 جرام,16.95
310,كارفور شراب برتقال سريع التحضير 750 جم,7.95
311,ريف خبز نخالة 200 جرام,5.25
312,ساكسا ملح صخري 350 جرام,7.95
313,المراعي حلى الشوكولاتة 85 جرام,1.0
314,ماجي شوربة الدجاج بوليون مع الاعشاب الطب...,3.95
315,لوزين كب كيك الكراميل 30 جم,10.5
316,أمريكانا صدر دجاج طرية 2 كيلو,40.95
317,"نستله كيت كات شوكولاتة اصبعين وبفر 19,5 ...",28.5
318,تلال غوار عجينة سمبوسة 1 كج,7.95
319,مريندا فراولة 1 لتر,5.0
320,ساباروت كينوا حمراء 500 جرام,31.5
321,كعك كراكرز سمسم 1 كج,27.0
322,كي دي دي صلصة البشاميل 500 مل,7.25
323,زين برغل خشن 800 جرام,6.95
324,بايو آيديا مكرونة فوسيلي بيضاء 500 جرام,14.95
325,غنم رفيدي كامل طازج من 11 الى 13 كج,589.0
326,علي كافيه قهوة سريعة التحضير 25 جرام,1.0
327,"كارفور حليب كامل الدسم بودرة 2,25 كيلو",52.95
328,الواحة عصير خوخ حبيبات 240 مل × 24,22.95
329,القزي مكسرات مشكلة قلوبات 300 جرام,18.5
330,هرشيز كيسز شوكولاتة بالحليب 226 جرام,22.95
331,سوبر كيو شعيرية 160 جرام,3.5
332,بايارا مسحوق الفلفل الأحمر الحلو 330 مل,11.95
333,لحم بقري طازج بدون عظم محلي (للكيلو),29.9
334,كارفور تارت بالتوت 180 جرام,49.5
335,كتف غنم نعيمي  (للكيلو),49.9
336,لحم بقري طازج محلي - شرائح من الظهر (للك...,39.9
337,شنكوز كوكيز بالشوكولاتة 40 جرام 12 حبة,12.95
338,برينجلز بطاطس بالنكهة الأصلية 70 جرام,5.5
339,بران مسحوق الكزبرة 200 جرام,3.95
340,أرلا حليب عضوي قليل الدسم طويل الأجل  1 ...,91.95
341,نادك عصير تفاح 250 مل,22.5
342,قودي زبدة فول السوداني مع بذور الكتان وا...,16.95
343,لاكي مي نودلز بنكهة الدجاج 65 جم,4.5
344,برونتو كروسان الفراولة 55 جرام - 5 حبة +...,5.0
345,نادك عصير برتقال 1.5 لتر,7.5
346,كارفور لفة موزاريلا 250 جرام,19.95
347,المراعي عصير ليمون مع لب 1.5 لتر,7.5
348,لانجنيز مانوكا عسل الغابة السوداء 375 جم,133.95
349,دولي توت احمر مجمد 350 جرام,20.95
350,كارفور شراب برتقال سريع التحضير 3 كيلو,23.95
351,المنى حلاوة طحينية شعر خالية من السكر 50...,22.5
352,نادك عصير رمان 1.5 لتر,7.5
353,كارفور جبن أبيض بالتوت الأحمر 500 جرام,18.95
354,ستيفيا محلي خالي من السعرات الحرارية 50 ...,18.95
355,كيفكي اصابع بسكويت مالح 100 جرام,3.5
356,باستا زارا مكرونة فتوتشيني 500 جرام,9.5
357,تمارا معمول تمر جوز الهند والشوكلاته الب...,12.95
358,نسكافيه دولتشي جوستو كابتشينو باردة 16 ك...,35.95
359,بروبايوس مكرونة بيني عضوية 250 جرام,26.95
360,تويكس إكسترا شوكولاتة 75 جرام,3.95
361,عزيمكو حمص اسود 600  جرام,6.0
362,هناء شوفان 1 كجم,14.5
363,كولمانز خلطة فطيرة البطاطس 45 جرام,7.5
364,نادك لبن عيران 225 مل,1.5
365,تانج ليمون نعناع 500 جرام,9.75
366,نوجو سليم ألواح شوكولاتة إسبريسو 45 جرام,16.5
367,وودن بيكري خبز بر صغير 290 جرام,1.6
368,اليوم أفخاذ دجاج بدون جلد طازج 400  جرام,10.95
369,غندور وافل بالكراميل 90 جرام,1.0
370,ندى زبادي طازج كامل الدسم 2 كيلو,13.1
371,كادبوري ديري ميلك بالاوريو 38 جرام,2.75
372,المراعي جبنة شيدر لشرائح البرجر 200 جرام...,19.25
373,المراعي جبنة كريم مطبوخة قابلة للدهن 200...,7.5
374,كعك أصابع زعتر 1 كج,27.0
375,كافنديش اند هارفي حلوى بالفواكه المشكلة ...,17.95
376,ماجي شوربة الدجاج بالشوفان 65 جم,5.0
377,الجميل تين مجفف علبة 1 كج,24.95
378,آرلا حليب عضوي قليل الدسم طويل الأجل 1 ل...,9.5
379,الفروج الذهبي  أرجل دجاج طازجة 500 جرام,8.75
380,تمارا تمر صقعي فاخر كرتون 3 كج,49.95
381,صنين مياه معدنية طبيعية 500 مل,2.0
382,فيجيتا توابل لجميع الأغراض 125 جرام,4.5
383,نوتي شوكولاته قابله للدهن بندق و شوكولات...,32.95
384,هاف مورأرز ياسمين معطر ممتاز 10 كيلو,51.95
385,كارفور حلاوة سادة 400 جرام,8.95
386,ألبرو حليب لوز 1 لتر,17.5
387,فيجيتا توابل لجميع الأغراض 250 جرام,7.95
388,دندي صدر ديك رومي مدخن (للكيلو),66.95
389,ديلوكس بسكويت خضار 192 جرام,7.95
390,الكسيح حمص 400 جم,3.5
391,تيرا شيبس الأصلي 141 جرام,20.95
392,تاسري شراب جرينادين 600 مل,21.5
393,بيبسي دايت 1 لتر,5.0
394,"كارفور شراب برتقال بودرة 2,5 كيلو",23.95
395,ميرندا مشروب غازي بالحمضيات 1 لتر,5.0
396,كيفينات خل التفاح 750 مل,33.95
397,ندى حليب طازج بالمانجو 360 مل,2.1
398,كارفور كبسولات قهوة معتدلة × 36,16.5
399,كارفور مشمش في شراب خفيف 850 جرام,14.95
400,بروبايوس  فيفا ميز مكرونة بيني خالي من ا...,29.95
401,يورو جورميه فيليه دجاج بالفلفل 130 جرام,13.95
402,نستله الواح رقائق بالفراولة 23.5 جرام,3.25
403,كينوا ريل حبوب 500 جرام,36.95
404,كارفور عصير حمضيات 25 كيس,12.5
405,داري جبنة بيضاء 200 جرام,4.25
406,بايارا فلفل مطحون 200 جرام,13.95
407,سنبلة جبنة موزاريلا مبشورة 1 كيلو,40.25
408,عافية زيت زيتون بكر ممتاز 4 لتر,143.5
409,لواكر غاردينا أصابع البندق الأبيض 125 جر...,15.5
410,بايارا ثوم مطحون 100 مل,12.95
411,تريبون فول الصويا الأخضر مجمد 500 جرام,24.75
412,امريكانا دجاج مفروم مبهر 400 جرام,8.5
413,ناتشر فالي ألواح الجرانولا شوفان وعسل 42...,2.25
414,ساديا برجر بقري بالتوابل والبصل 224 جرام...,8.25
415,ماجي شوربة شوفان بالطماطم ونكهة اللحم 65...,5.0
416,ايرثلي شويس كينوا بالثوم 136 جرام,22.75
417,ماجي شعيرية سريعة نكهة الكاري 79 جم - 10...,10.95
418,كارفور بسكويت سيريال حليب وشوكولاتة 200 ...,8.95
419,بارني كيك بالشوكولاتة 30 جرام 4 حبات +1 ...,7.95
420,ميبونا شوكولاته 72% داكنة 100 جرام,9.75
421,شيتوس مقرمش 54 جم,2.25
422,"كارفور زيت دوار الشمس 1,8 لتر",12.95
423,ديلما شاي إيرل جراي 25 حبة,10.0
424,نادك زبدة جرامير مملحة 200 جرام,8.5
425,الكسيح بودرة الكاكاو 200 جم,15.5
426,نستله كيت كات شوكولاتة اصبعين وبفر 19.5 ...,8.95
427,كويكر جود ستارت بسكويت بنكهة الهيل 210 ج...,11.95
428,قراميش شابورة بالحليب 300 جرام,6.95
429,أولكر كات كات فطيرة محشوة بالشوكولاتة 26...,11.95
430,ديلما شاي أخضر طبيعي 20 كيس,10.0
431,ميبونا شوكولاته 50% داكنة 100 جرام,9.75
432,بريميوم هارفيست فواكه استوائية مجففة 250...,22.95
433,باريلا معكرونة فيتوتشيني 500  جرام,13.75
434,ديلما شاي أخضر بالقرفة - 20 حبة,10.0
435,ساركيو عصير التوت البري العضوي 330 مل,36.75
436,كانلار جبنة قشقوان 1 كيلو,43.5
437,المراعي لبن زبادي طازج بنكهة الفراولة 15...,1.6
438,باريلا صلصة البولونيز 400  جرام,11.0
439,بريميوم هارفيست تين مجفف 250 جرام,22.95
440,الواحة برتقال علبة 180 مل × 24,23.5
441,ميبونا شوكولاته بالحليب بجوز الهند عضوية...,9.75
442,آرلا حليب عضوي طويل الأجل طويل الأجل  20...,2.0
443,أمريكانا كوكيز مويسلي 10 قطع,14.0
444,روفليه دو فرانس مربى البرتقال والكليمنتي...,18.95
445,كارفور بايو فراولة 200 جرام,16.5
446,شوقر ان ذا رو مكعبات سكر بني 500 جرام,13.95
447,رحمة زيت زيتون عصرة أولى ممتاز 750 مل + ...,25.75
448,نستله كونتري كورن فلكس رقائق الذرة 1 كج,26.5
449,ديكا ويفر رول شوكولاته و فول السوداني 36...,14.5
450,نسكافيه دولتشي جوستو قهوة موكا 16 كبسولة...,35.95
451,كيندر بوينو ميني 108 جرام,10.0
452,الباخره ارز برمل هندي 10 كج,33.95
453,جالكسي شوكولاتة بيضاء 38 جرام,3.25
454,بران مسحوق الكركم 1 كيلوجرام,19.95
455,قودي فول بالوصفة الحجازية 450 جم,3.75
456,كارفور طماطم كاتشب 340 جرام حبتين,10.95
457,ماجي شعيرية مقلية الطعم الاصلي 72 جم - 5...,6.95
458,تويننغز شاي بعد الظهر الإنجليزي 25 كيس,19.5
459,لوزين خبز التوست بالحليب 600 جرام,5.25
460,حلواني معمول بالتين و الجوز 18 جرام 16 ح...,7.75
461,واحة لينة تمر خلاص الاحساء مكنوز 1 كج,12.95
462,رضوى أجنحة دجاج طازجة 500 جرام,5.95
463,هاريبو حلوى جيلي نكهة خوخ 175 جرام,10.0
464,تمارا سكري رطب علبه 1 كج,24.95
465,كارفور شراب كوكتيل فواكه بودرة سريع التح...,23.95
466,ام اند امز كرسبي شوكولاته 160 جرام,11.95
467,نستله حليب مكثف محلى 397 جرام × 3 ...,18.95
468,قودي صلصة أرابياتا للباستا 420 جم,14.5
469,نستله كت كات شنكي كوكيز و كريمة 49.5 جرا...,2.95
470,يومي خبز برجر بالسمسم 6 حبات,3.15
471,بازوكا حلاو بنكهة العنب الاسود 25  جرام,6.25
472,أريزونا أرنولد شاي مثلج بالليمون 500 مل,7.95
473,المراعي لبن عيران 2 لتر,8.0
