,product_name_list,price_lst
112,فاصوليا حدائق كاليفورنيا حمرا 400 جرام,4.5
113,سلاتونة ريوماري خلطة ذرة 2×160جرام,25.95
114,سلاتونة ريوماري خلطة مكسيكية 2×160 جرام,25.95
115,ذرة سمارت حلو علب 340 جرام,4.95
116,تونة جرين فارمز خفيف 180 جرام,4.47
117,تونة ريوماري بالثوم والفلفل 2×160جرام,25.95
118,ورق عنب حدائق شتورة محشي 500 جرام,8.93
119,زيتون كوبوليفا اسود بلا نوى 75 جرام,4.15
120,تونة حدائق كاليفورنيا شرائح مدخن 120 جرام,7.3
121,زيتون حلواني اخضر ش بالشطة650ج,25.15
122,ارز الوليمة مزة بسمتي 10 كيلو,76.2
123,جبن المراعي كاسات طعم القشطة ٥٠٠جم,15.7
124,سكر ابوفهد ناعم 10 كيلو,30.4
125,شراب تونو توت مركز 710مل,10.25
126,حليب نيدو بودرة 2500جرام,76.6
127,لقمة القاضي هونج 500جرام,8.35
128,دجاج دو مجمد 10*900جرام,127.75
129,شراب فوستر برتقال فالينسيا 2.5 كجم,35.65
